id;id_point_recharge;nombreDePrise;typeDePrise;vehiculeAutorise;typeDeRecharge;puissance;cableFourni;priseAvecVerrou;etatPrise
1;1;3;3c;;Normale;;;;
2;2;2;3c;;Accélérée;;;;
3;3;5;3c;;Accélérée;;;;
4;4;2;3c;;Accélérée;;;;
5;5;1;3c;;Accélérée;;;;
6;6;1;type 2;;Accélérée;;;;
7;7;1;CHAdeMO;;Rapide;;;;
8;8;1;domestique UE;;Normale;;;;
9;9;1;domestique UE;;Normale;;;;
10;10;1;3c;;Normale;;;;
11;11;1;3c;;Accélérée;;;;
12;12;1;type 2;;Normale;;;;
13;13;1;inconnue;;Normale;;;;
14;14;2;domestique UE;;Normale;;;;
15;15;4;type 2;;Rapide;;;;
16;16;1;type 1;;Accélérée;;;;
17;17;1;3c;;Accélérée;;;;
18;18;2;3c;;Normale;;;;
19;19;1;CHAdeMO;;Rapide;;;;
20;20;1;CHAdeMO;;Rapide;;;;
21;21;1;Combo UE;;Accélérée;;;;
22;1;3;domestique UE;;Normale;;;;
23;2;2;domestique UE;;Normale;;;;
24;3;5;domestique UE;;Normale;;;;
25;4;2;domestique UE;;Normale;;;;
26;5;1;domestique UE;;Normale;;;;
27;7;1;type 2;;Rapide;;;;
28;11;1;type 2;;Accélérée;;;;
29;16;1;CHAdeMO;;Rapide;;;;
30;17;1;domestique UE;;Normale;;;;
31;18;1;domestique UE;;Normale;;;;
32;20;1;type 2;;Accélérée;;;;
33;11;1;domestique UE;;Normale;;;;
34;20;1;3c;;Normale;;;;
